13:13:47.090889 [queue=0] packet #14, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is dropped
13:13:47.091887 [queue=1] packet #14, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delayed for 65ms
13:13:47.092883 [queue=0] packet #14, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delivered
13:13:47.093880 [queue=1] packet #16, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delayed for 20ms
13:13:47.094877 [queue=0] packet #16, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delivered
13:13:47.095875 [queue=1] packet #17, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delayed for 98ms
13:13:47.096873 [queue=0] packet #17, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delivered
13:13:47.098868 [queue=0] packet #15, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is dropped
13:13:47.099865 [queue=1] packet #15, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delayed for 38ms
13:13:47.102858 [queue=0] packet #15, 127.0.0.1:8080 -> 127.0.0.1:3531, sz=20 is delivered
13:13:47.103856 [queue=0] packet #18, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is dropped
13:13:47.104851 [queue=1] packet #18, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delayed for 98ms
13:13:47.104851 [queue=0] packet #18, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delivered
13:13:47.105850 [queue=1] packet #19, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delayed for 12ms
13:13:47.105850 [queue=0] packet #19, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delivered
13:13:47.106847 [queue=1] packet #20, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delayed for 98ms
13:13:47.107844 [queue=0] packet #20, 127.0.0.1:3531 -> 127.0.0.1:8080, sz=20 is delivered
